filename,lat,lon,km,river,time,gkz
Saale_201910_01W_pos1.mzXML,51.25755985,12.04139875,,Saale,2019-10-29 14:00,56
Saale_201910_01W_pos2.mzXML,51.25755985,12.04139875,,Saale,2019-10-29 14:00,56
Saale_201910_01W_pos3.mzXML,51.25755985,12.04139875,,Saale,2019-10-29 14:00,56
Saale_201910_02W_pos1.mzXML,51.29736537,12.05838471,,Saale,2019-10-29 14:20,56
Saale_201910_02W_pos2.mzXML,51.29736537,12.05838471,,Saale,2019-10-29 14:20,56
Saale_201910_02W_pos3.mzXML,51.29736537,12.05838471,,Saale,2019-10-29 14:20,56
Saale_201910_03W_pos1.mzXML,51.332949,12.017372,118.2,Saale,2019-10-29 14:40,56
Saale_201910_03W_pos2.mzXML,51.332949,12.017372,118.2,Saale,2019-10-29 14:40,56
Saale_201910_03W_pos3.mzXML,51.332949,12.017372,118.2,Saale,2019-10-29 14:40,56
Saale_201910_04W_pos1.mzXML,51.336623,12.004365,117.1,Saale,2019-10-29 15:00,56
Saale_201910_04W_pos2.mzXML,51.336623,12.004365,117.1,Saale,2019-10-29 15:00,56
Saale_201910_04W_pos3.mzXML,51.336623,12.004365,117.1,Saale,2019-10-29 15:00,56
Saale_201910_05W_pos1.mzXML,51.357307,12.00311,113.9,Saale,2019-10-29 15:20,56
Saale_201910_05W_pos2.mzXML,51.357307,12.00311,113.9,Saale,2019-10-29 15:20,56
Saale_201910_05W_pos3.mzXML,51.357307,12.00311,113.9,Saale,2019-10-29 15:20,56
Saale_201910_06W_pos1.mzXML,51.429349,11.973445,,Weiße Elster,2019-10-29 16:00,566
Saale_201910_06W_pos2.mzXML,51.429349,11.973445,,Weiße Elster,2019-10-29 16:00,566
Saale_201910_06W_pos3.mzXML,51.429349,11.973445,,Weiße Elster,2019-10-29 16:00,566
Saale_201910_07W_pos1.mzXML,51.435701,11.944665,101.9,Saale,2019-10-29 17:00,56
Saale_201910_07W_pos2.mzXML,51.435701,11.944665,101.9,Saale,2019-10-29 17:00,56
Saale_201910_07W_pos3.mzXML,51.435701,11.944665,101.9,Saale,2019-10-29 17:00,56
